微博内容,统一后的评论,点赞数
"Robotaxi 专家记录📝0526：

1️⃣萝卜快跑&小马目前投放：萝卜快跑目前国内投放1500台（武汉占1/3），预计25年可以达到1800量，小马目前400台，预计25年可以达到1000台，两者增量主要来自国内投放，主要在广深，北京；小马文远百度Q1相关业务订单超预期；

2️⃣Robotaxi今年UE打平主要来自两方面（",,1
"今日舆情热度：

①核聚变-不靠普签署了一系列有关核能令，计划在2030年前启动10座大型核电站建设；（尚纬股份、雪人股份、融发核电、哈焊华通、百利电气、合锻智能等）

②并购重组-证监会发布《关于修改〈上市公司重大资产重组管理办法〉的决定》，鼓励私募基金参与上市公司并购重组。（慧博运通、富",,1
"【申万机器人+交运物流】20250525无人驾驶AI物流产业加速，4月率先推荐，标的再全面梳理

🔥重申：申万于4月市场率先提出AI无人物流是机器人新场景（注意到九识 白犀牛 西威等），并一周前【申万机器人沙龙】集体重大推荐ai物流。

🔥无人物流国内外产业：
预计顺丰无人配送车队从2024年600台扩产",,1
体验了一把萝卜快跑,,1
"周末，AI智能体、医药、自动驾驶、人形机器人等重要信息!

1、AI智能体

1）近期，腾讯、京东、荣耀、昆仑万维等陆续宣布各自智能体新进展，天工超级智能体上线不久后即限流。

2）AI智能体独立搞科研：2.5个月找到新疗法，填补人类盲区

3）报道称OpenAI升级Operator 智能体，所使用的 AI 模型从4o升",,1
萝卜快跑大战武汉电动车,"Grekoka_：哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈我笑的肚子疼
能不能不努力了 ：太暖味了",1
"小朋友最近总问他妈：“ 我小姨怎么还不过来给我收拾东西、带我走 ”
一言不合就瘪嘴
事事都得如他意，否则地上一躺
我说我的小狗比你懂事以后喜欢我的小狗不喜欢你了，眼泪哇哇掉
小嘴叭叭说：我是小姨的小宝贝，小姨带我吃冰淇淋、汉堡、摇摇车、萝卜快跑，我要跟你回W昌……",,1
"a股无人驾驶 无人驾驶/特斯拉-

百度旗下自动驾驶出行平台萝卜快跑现已覆盖全球15座城市，马斯克表示，特斯拉将于6月底在美国得州奥斯汀推出自动驾驶出租车（Robotaxi）服务；
（宜通世纪、美利信、同星科技、悦达投资、万安科技、沃特股份、德迈仕等）",,1
无人驾驶/特斯拉-百度旗下自动驾驶出行平台萝卜快跑现已覆盖全球15座城市，马斯克表示，特斯拉将于6月底在美国得州奥斯汀推出自动驾驶出租车（Robotaxi）服务,,1
"正好一年级
2025放学新地标之武汉体育篇
算算上半年说走就走的周末已经分别打卡了山西大同，天津，沈阳，南京，这周新晋武汉～
特种兵的上午看了女子跳水，晚上看了女足。还没有意外的成为幸运观众哈哈哈～间隙还去体验了萝卜快跑和空轨～
竞技体育值得！坐了4h高铁看到每一个无畏无惧的女运动员从1","评论罗伯特：跳水陈芋汐，女足铿锵玫瑰，特侦兵都看懵了！
微博同城：恭喜，您的微博获得武汉同城微博榜排名第79名！进榜单的本地微博都在这里，点击查看>>武汉同城微博榜",1
"周末舆情热度（5.24-5.25）

1、自主可控/PSPI-荷兰继续对中国限制出口光刻设备，国产替代迫在眉睫,PSPI因AI应用引发需求暴增断供

自主可控/慧博运通、美利信、东土科技、 沃特股份 、格尔软件、北方华创等；PSPI/阳谷华泰、国风新材、鼎龙股份、强力新材、八亿时空、万润股份等

2、并购重组-证监会",,1
"李彦宏：百度模型研发重点在有实际应用价值的领域，不必每个方向都领先

据澎湃新闻报道，在第一季度财报电话会上，百度创始人李彦宏称，百度从战略角度考虑，把模型研发重点放在有实际应用价值的领域。李彦宏称，“过去几个月，基础模型迭代速度出现加快趋势，有一点始终是明确的，基础模型的真正价值","东东司乘 ：不做花架子，专攻能落地的AI应用，聪明
咿呀咿呀哟哟啊啊 ：现在有各种各样的大模型，真的是层出不穷啊
偶又菜又爱玩：期待百度能为我们带来更多AI新应用
不要上头ok ：应用为王，未来属于能做出优质应用的开发者
零一六五三 ：实际应用价值的领域 这个侧重点挺好的呀
橙子皮ii2 ：现在确实有很多大模型还是有点让人想不到啊，真的可以
是比从前快乐了 ：看来无人车真要进入日常生活了
就是矫情爱咋咋滴吧 ：我觉得百度模型的研发在很多的领域上都是有突破的
北京市渡边麻友 ：确实没必要样样争第一，找准赛道更重要",1
萝卜快跑 真.无人驾驶 L朱祐臻Repearl的微博,,1
"张亚勤预测：10%的新车在2030年就会有L4的能力，那时候DeepSeek时刻就来临了。

理由还是因为无人驾驶安全性显著超越人类驾驶。

第一，看数据。Waymo和百度萝卜快跑无人车在复杂城市路况下的平均事故率，仅为人类驾驶的1/14，且随着端到端大模型技术的应用，这一差距有望进一步拉大。

第二，AI引入会","枬小喵：了解一下
爱螃蟹的熊 ：地图导航植入广告也是ds时刻呢么？
深山老林2336：人工智能，方兴未艾
心随飞鸿Rahel：期待这一天的到来
春与青溪长呐：不太了解",1
武汉偶遇“无人出租”，纳米06该如何应对？闫闯说车 L闫闯的微博,"ggn192 ：不错👍🏻
云南曾颖：当然萝卜跑得快了，震哥出镜 纳米06实用实惠，空间大，记忆跨层泊车真不错
紫susun ：热干面配面窝，还差一碗蛋酒哟😁
吉运舒俱来：太猛了
东风纳米余岳峰：记忆领航辅助功能一键开启“轻松”档🚗，为您的行车安全辅助加码，同级独有天地门还能秒变露营神器⛺️，入股纳米06不亏纳米06高级辅驾击穿十万级527东风纳米06上市东风纳米06八万配齐
窝窝饼子菜火烧儿 ：哦买嘎
张福莱Fly_z ：好吃
Huang莉0810 ：好饿
lukaluka77_：哈哈哈",1
萝卜快跑打卡打卡,,1
打到萝卜快跑新车型啦，自动门，座椅按摩，后备箱，比之前宽敞很多啦 L燕子欧尼Ashlyn的微博,,1
"特斯拉Robotaxi
Vs
萝卜快跑

特斯拉Robotaxi正式上线","队长会开车 ：不标上萝卜我还以为驾校模拟训练呢
一颗幻想的种子 ：萝卜也很厉害
苏腾心 ：一个真正的无人，一个后台直接远程接管。
莫尔盐111111 ：哈哈哈哈哈哈哈哈哈哈
评论罗伯特：萝卜快跑，别让特斯拉Robotaxi追上啦！滴滴滴，绿色出行，智能驾驶，咱们国产的自动驾驶也要加油哦~
在人生的旅途中迷路了 ：@萝卜快跑自动驾驶 真假的？
这也得鼓掌 ：但微博搜不到首日😄😄
Bling_rl：照这么看，我想去萝卜快跑这跟我当年花大价钱买外设玩欧卡二有什么区别，还有钱收
栗悟饭- ：特斯拉不能远程接管？",1
"媒体评萝卜快跑抢网约车司机饭碗【萝卜快跑抢网约车饭碗？“砸烂”一定不是最优解】无人驾驶出租车，真的会抢走网约车司机的饭碗吗？这个问题特别像，AI会取代我的工作吗？1公里1块钱的无人出租车你敢坐吗

近期，随着萝卜快跑在武汉街头批量投用，关于它的负面舆论几乎没消停。“它只会傻傻的在原","晨 ：媒体评萝卜快跑抢网约车司机饭碗
扣扣扭 ：还有这个里面主持人可能也会被AI取代。现在已经有电商开始了AI直播，所以主持人记者编辑也不会幸免。看似无关，其实都是下一个自己
PHNX-Y ：怀念当年没有网约车 没有共享单车的日子，那时可以肆意拒载 绕远 拼车以及坐地起价，还不用开空调
潇湘晨报96360 ：“岗位替代”焦虑，甚至连外卖员都在担忧，未来是不是会出现“无人车送外卖”。
魅肆摄 ：
林大胖爱吃肉 ：虽然可以24小时接单，但是也要充电吧中间！以他们的速度会不会之后造成道路更拥堵了，感觉把命交给AI很担心
恋上37度半 ：中国14亿人，却拼命发展无人AI
来了就好越来越好2023 ：不去取代体制里可有可无的岗位，专抢一些中年人上有老下有小的饭碗。
特种熊多多 ：生产力大大提升了，生产关系不改变当然不行。",1
"安利大家来武汉玩打 萝卜快跑无人驾驶
安静 干净 无异味 能自选歌曲 调节空调 还有按摩
比快车还便宜点 真的很难拒绝

（记得帮萝卜把门关上 不然会停在路边反复播放“请帮萝卜关关门吧”） 2武汉","浅浅晓月：鹏鹏车咋不开。。
对方不想理你并踹了你一jio ：可是汉阳很少啊
handsome小新来了 ：主驾能做吗
EasonZES ：上周才去完武汉，感觉好的酒店太少
测测君test：咋样现在这个车 行驶起来顺畅不？
豆耳朵___ ：这是广告贴吗
隔壁老白的微博 ：然而只有郊区才有
张不困觉 ：上次傻缺萝卜在庙山路中间停下来放人下车，我在后面急死了
BLANKJJJ ：最主要不会碰到司乘纠纷",1
网约车 无人驾驶无人驾驶的网约车，萝卜快跑，感觉还可以，挺智能的，听说百度萝卜快跑已经在武汉盈利了，这样的车你敢坐吗？照这情况下去驾驶员早晚得失业热门‖百度 萝卜快跑 L历史这些事啊的微博,"出家人乃唐僧：无人车，未来已来，期待。
来过方知人间疾苦 ：年轻人的第一台移动公寓，或者p房
无痕先森sup ：有个想法，既然都是无人驾驶了，那是不是司机座也不需要了，以后前排也3个座位，6个座位都用来坐人
李晓云的新家 ：要是碰到鬼探头它能反应过来吗？
嗜睡的椰果 ：不敢坐，我惜命
JHOUO ：为什么还有驾驶室和方向盘 跟我想的无人驾驶车完全不一样
沧砉 ：我有一辆网约，我想问问，我在家睡觉它在外面帮我赚钱
暖脸的阿衰 ：有个问题，下雨天雨刮器开吗，除雾开吗
PB老司机 ：它车上会配备司机吗？还是完全没有驾驶员",1
这两天家里有事，请假去了一趟武汉。拍到了武汉的日落大道，感觉还不错。现在武汉有很多萝卜快跑无人驾驶出租车，和半年前比起来，明显进化了很多。会主动加速，加塞，卡位，明显是被武汉人民调教出来了。我试着别了萝卜快跑一下，它会微微减速然后伺机卡进来，感觉很快它就会学会汉味ai语音广播骂人了,"橘子糖1103 ：算鸟算鸟
偏安一隅隐乔渊：蒜鸟，蒜鸟
兔尾猫：嗯？饼叔老家在武汉？
薛定谔的半马人_ ：我上次回家就看见有个萝卜实线掉头，周围一堆车从它身边擦过还都不减速
我们藏剑好像真的完蛋了：哈哈哈哈
跑跑跑啊跑不动 ：哈哈哈哈哈哈哈
大漠沙如雪sandi：无人驾驶你都敢别啊，小心ai怒了。。
偷看台首洗碗 ：勺萝卜！前天搬家的货车还被勺萝卜别了，司机破口大骂无人在听
怀泽怎么没有用 ：得让它来川A试试",1
"感受了一把萝卜快跑，无人驾驶出租车，在武汉这个驾驶风格彪悍的地区搞无人驾驶，有魄力
讲真效率不错，但这个刹车油门的控制，还是太猛，没有华为理想那般丝滑。
在还有人唱衰驾驶辅助的时候，真正的无人驾驶已经实现商业化了，好神奇","那日苏酮学 ：这车能做5个乘客吗？
信通小熊猫9 ：萝卜快跑更准确的说，应该叫远程有人驾驶。
Y车评_李扬：这还是第二版车型了，所以去年第一版车型就是我今天吃饭跟你说的，内裤湿了...
大邪痞 ：在武汉坐过一次，网约车司机朝窗户上吐口水
Noy-Iris ：上个月自驾去武汉，司机的彪悍程度连兰州的一根毛都比不上
热血中年嘻嘻又哈哈：告诉你，这个苕萝卜最近升级了，TMD会别车了。
你是单身狗：欢迎闯哥来武汉体验无人驾驶，萝卜快跑的两座MPV车型体验下来算是很不错了，后备箱空间也大～
王小王的军小军 ：不懂就问，既然是无人驾驶了，为啥还要保留方向盘，去掉方向盘不是还能多坐个人吗？
云云芸：世界的巨大差异化",1
萝卜快跑无人驾驶的算法有问题啊，这么简单的路况都处理不了？ 来自网络,"ou风车 ：好一个GTA截停…
将-族 ：匆忙推出这种资本游戏，必然，一地鸡毛！
财武汉装修队长：拉及公司的东西，谁买谁当小白鼠。软件出bug太正常了，车企承担责任之前，我是不敢用智驾了
浓缩白咖啡 ：迪要负主责
爽朗的快乐远航 ：比亚迪拐弯负主要责任
边角逛逛Bug里：这胖头鱼太惨了
育同学_学历教育勇哥 ：事发地不是湖北武汉",1
萝卜快跑无人驾驶出租车 在武汉，坐无人驾驶出租车是种什么体验？ L麻醉医生凌楚眠的微博,"朵朵姐姐家 ：你好萝卜
闻子闻 ：想问这样的车真的可以上常规交通路段吗？交警是允许的吗？
幸运小滴夺 ：嗓音好听，多说
向左还是向右_呢 ：好奇什么感受啊 无司机车
沫沫江湖88：有意思
捉马：如果是我一个人坐我会有点害怕
最后一支Dopamine ：哈哈 现在喊司机不喊司机了 喊萝卜
李梁：还是有点怕
小囡叮叮：下次来武汉出差，感觉可以试试",1
"我们打了萝卜快跑，佩服它的勇气，竟然在水乡片试运营

在华南mall的掉头路口卡了得有5分钟

肉妈说先不要上车，太羞耻了，她不知道在那也不能上车，萝卜得到停车点才能上

路人（图2）都拿出手机拍了，好像在说，你看这车被卡在这了，所以我说佩服它的勇气，谁曾想路口竟然有个锥桶，它在","北山北峰 ：哈哈哈
开电车的昌老司：哈哈哈
YR_AMOY ：如果乘客受不了了自己坐到驾驶座上开会如何？
拆那奥拓：什麼時候來？帶你去坐waymo
Navis-慢点评测：广东也有了？
Agoer冲冲 ：一直在华南mall周边，天天上班看到
billy电车日记：这个车难道不是有人在远程遥控吗
首席线索官：改天我也试试看。
周丶晏杨 ：沙田有没有？好想打一台玩玩",1
"无人驾驶三强赛道已成，中国必须“快跑”

特斯拉正式启动Robotaxi的公开试运营；几乎同一时间，Waymo申请进军纽约，推动修改当地法律；而另一边，中国的无人驾驶平台已在中东、香港，以及即将进入的东南亚市场加快布局。

无人驾驶的全球头部格局正在加速成型，一个相对清晰的第一梯队正在出现：Waymo","一起来装逼 ：牛逼
小暖暖奥利给 ：比起特斯拉我还是相信萝卜快跑，自己的品牌更靠谱
羊咩咩eo ：我想说的是，萝卜快跑已经被市场接受了，特斯拉要想赶超有点难
想要的完美没有那么难 ：我想说的是，萝卜快跑已经被市场接受了，特斯拉要想赶超有点难
里里休：俗话说来得早面子大，萝卜快跑紧贴市场需求早就根深蒂固了
用户_艰难重生 ：可能最终会形成中式无人驾驶和非中式无人驾驶，两大阵营。",1
出发咯第一次打到萝卜快跑无人驾驶hhh好有意思,"用户1004142403 ：去新加坡
擅长料理美少年 ：
iwannagetyoubak ：omg好高级
Dieforme- ：哈哈哈哈嘎扇
贪猪浸猪笼 ：单依纯同款 image
剑已封鞘2333 ：",1
给人笑瘸了 萝卜快跑 不止车跑人也得跑萝卜快跑 L漂亮小姐姐一枚的微博,"拖西坝 ：看的出来司机情绪很稳定
茉莉JCT ：我之前也对着它骂了一路 气死了 本来就急我那边又比较偏 又是第一次打到它 我都不知道本来就勾选了萝卜车 取消了三次还是它 无可奈何赶不上了就上了 看到前面老远在闪我跑上去 太气人了
拙慕鸟_：这乘客是什么口音求科普😲
至少我们直线曾经交叉过-：哈哈哈哈哈哈哈哈
还会幻想的猫 ：司机情绪平稳到都看不到人影了
Bai_729 ：@薄荷味的小蓝莓
fly0_0 ：一听就知道是河马的声音",1
“萝卜快跑”正常直行时被插队，直接起步，插队车被吓回方向亿点曝光计划超能新星汇 L骑车君的微博,"唸之风景 ：萝卜现在都会滴喇叭了，上次绿灯前面一个车没走萝卜滴滴，我以为有人开呢，车从我旁边过去才看到没人，萝卜也是长大了
那好吧不和你闹了 ：萝卜不好惹
Ant_Coder ：这应该是有安全员在车上开的情况
没学走路 ：恶人还得恶人磨
Aradiali ：为啥敢在武汉搞这种测试
老同学王老湿 ：自动驾驶的算法终于提高了，这是进步
西明早挚Mattias ：只有当地才能培养出这么优良的品种
绕南墙 ：好！就得有人治治这些插队的！！萝卜做的好！！！
君子怀谦 ：不愧是武汉萝卜",1
"6月9日，湖北武汉，萝卜快跑直行时避让转弯车辆，邻道小车躺枪 撞翻护栏翻滚一圈，""萝卜""全责 ""鱼头""司机受伤送医 萝卜快跑 热点现场 L出站上楼的微博","Wayne24774 ：旁边肇事的真萝卜倒是跑了
歌单又循环到了枫 ：逼压低车主很可恶，大家发现了没有，我在鄂A
羊咩咩eo ：萝卜快跑平时稳得很，肯定是人在开
车厘子椰奶西米露 ：这反应和我一样，肯定是有人在里面开
麦田蓑笠翁：关注！萝卜快跑
数星星的小朋友来了 ：红车责任没跑，但这一看就是测试员在开车
方之夫：程序违法了。//@M雪诺:让速不让道，傻萝卜
M雪诺 ：让速不让道，傻萝卜
老实养猪 ：真萝卜不会这样",1
宇宙级企业家马斯克的 Robotaxi 今天终于先通过 Model Y 在德州奥斯汀启动了！从当地的体验来看，运行还算是流畅。据说马总狂烧了上百亿美元，Cyberab 甚至取消了方向盘和刹车踏板，实现了极致的自动化水平。那这到底是一门好生意吗？我们帮他算了笔账，看看究竟是前途似锦还是道阻且长！进来一起,"常岩CY：这篇内容我们策划了一个月，帮马斯克算了笔大账@来去之间
斯外格W94 ：太牛了 评论配图",1
please多来点这种人生时刻好吗！！！爽 我要天天做萝卜快跑 一天滴烦恼都没有了 LJiuyz-的微博,顾北翎 ：才下班啊,1
特斯拉开启Robotaxi服务 画饼十年，终于开吃！6.22特斯拉超话 在美国奥斯汀开启无人驾驶出租车运营，马斯克超话 说年底要投放1000台！2北京 LAlexCui聊车的微博,,1
"自动驾驶/Ro­b­o­t­a­xi相关企业：
Ro­b­o­t­a­xi：万马科技、锦江在线、大众交通、经纬恒润、交运股份、江西长运、金龙汽车等
特斯拉Ro­b­o­t­a­xi产业链：联创电子、宜通世纪、世运电路、宇瞳光学、光庭信息等
无人物流：中邮科技、通达电气、云内动力、智莱科技、科捷智能、开勒股份等
Ro­b­o­t­a­x",,1
自从体验萝卜快跑以后就不想坐有司机的车了 无人驾驶太自在了,,1
4.87 复制打开抖音，看看【萝卜快跑🥕的作品】这游戏的魔性BGM太上头了 节奏天国  节奏大... O网页链接 04/20 C@U.yG UlP:/,,1
据彭博社20日报道，百度计划最早于今年在新加坡和马来西亚上线萝卜快跑无人驾驶出租车服务。知情人士透露，百度正加快拓展海外市场的步伐。萝卜快跑目前正与当地潜在合作方接洽，商讨最适合两国市场的运营模式。百度首席执行官李彦宏此前曾指出，公司正寻求与出行平台、本地出租车公司及第三方车队运营,"Chua说桃花依舊笑春風 ：
空山岁晚1117 ：
冰水炖番茄酱 ：
炸鸡腿终结者：早呀
小公主妮妮2011 ：早",1
特斯拉的Robotaxi终于落地了，如果是10年前相信马斯克画的这个大饼，那么你无疑是成功了，不过国内的萝卜快跑和谷歌的Waymo都已经落地运营好几年了，特斯拉想取得成功就必须拿出技术性的优势了。,"好运樱蓝忆：技术的重要性啊
爱哭鬼安德：是的
-K味泡芙121-：确实是的
竹落Daisy：是嘟
吴陶位：关注
小小锦鲤春满塘：确实是的
InaMokYingXin：确实竞争激烈程度不容忽视，所以说有利有弊啊
每一天都最幸运9966：是哦
橙子不甜不吃_：确实是的",1
特斯拉Robotaxi正式上路，全球无人驾驶出租车市场蓝海里，“国产萝卜”为什么不能输？特斯拉robotaxi萝卜快跑微博新知robotaxi L弘凌的小酒馆的微博,,1
"马斯克画了九年的大饼终于实现虽然是画了9年的大饼，不过马斯克也算是说话算数，总算是把无人驾驶出租车给推出了。

当然和国内的萝卜快跑相比，速度还是慢了一步。这东西经验的积累也很重要。",,1
"【特斯拉Robotaxi仅上线了一个半成品？丨记者观察】当地时间2025年6月22日，特斯拉在得克萨斯州奥斯汀正式推出无人驾驶出租车Robotaxi服务，每趟车费暂定为固定的4.2美元。

早在2016年，特斯拉CEO马斯克便首次提出了“特斯拉网络”的概念，即特斯拉车辆在车主不使用时可以作为自动驾驶出租车运营。",,1
"可以看到，特斯拉的无人驾驶舱并没有做外隔离，这样不担心有些好奇的乘客跑去动方向盘吗？

萝卜快跑的车，驾驶舱不仅做了隔离，连方向盘和踏板都是用罩子给罩起来的，就是怕有些乘客干预驾驶……

特斯拉 LWill车聊的微博",,1
现根本干不需要那么人，现在很多的小孩都不应该来到这个世界上，中美关系贸易战就是因为中国人太多那么多人上班生产那么多产品而且大多是出口所以美国才要和中国打贸易战.归根到底就是人太多了，而且现是自动化智能化时代很多事情都是不需要人做的，像前段时间百度搞的无人出租萝卜快跑.就被很多出租司,,1
"特斯拉Robotaxi已经在Austin试运行，

还跟萝卜快跑早期一样副驾驶要坐个np，

前年在嘉定试用，司机说不要跟我说话，他只是np，

最新数据萝卜在武汉接了700万单了，

中国在这方面紧盯美国，其他国家早已落后，

只有中美两个玩家…

特斯拉不能忽视，否则梦想怎么来",,1
"宇树完成了C轮融资，字节阿里腾讯入局，银河通用新一轮由宁德时代领投，之前智元新一轮京东上汽TCL入局，蚂蚁还在这两天参投了钛虎。
科技巨头、产业资本进入的节奏在今年明显加快，不过近两年落地可能仍然不会那么快，这些巨头，相比产业战投，可以称之为耐心资本。
从落地角度看，我更好奇，哈啰、蚂",,1
"特斯拉无人驾驶Robotaxi，美东时间6月22日中午12点正式运营！

从团队合影图片上看，印度人和华人工程师占了大多数。

现在只在德州奥斯汀等少数城市开始运营，后期会逐步扩大运营城市。

有意思的是目前robotaxi的副驾驶上有人，算是安全员和解说，估计运营一段时间后，副驾驶上的安全员会撤掉。毕竟",,1
@吃喝玩乐不碍努力工作:打开百度地图，就能看到萝卜快跑限行区域，在亦庄附近，如果在这个区域里可以直接下单的。萝卜快跑//@吃喝玩乐不碍努力工作:落地北京了？在哪里呢,,1
"科技
萝卜快跑 2武汉·光谷",,1
"特斯拉Robotaxi上线采用的是完全基于输入的数据驱动系统，无需激光雷达、毫米波雷达或高清地图。

这个系统依托单一大型模型，完成端到端训练，输出驾驶动作，与传统方法不同，特斯拉放弃手工编码规则和复杂工程，依靠大规模数据和车队强化学习实现自动驾驶能力提升。

我有点好奇和萝卜怕快跑哪个",,1
哈罗官方这个车是他们自己p的贴纸？这明显就是萝卜快跑的六代车哈罗Robotaxi,林嘉萝：这不是六代萝卜，咋变成哈罗的了？,1
"@特魔豆 大哥，不要这样吧
我甚至觉得萝卜快跑的远程驾驶设备看着更靠谱一点...",特魔豆：我是说了什么吗？,1
"关于自动驾驶思考
特斯拉在德州奥斯汀启动了 Robotaxi (无人驾驶出租车) 公开试乘
车辆主要搭载了 FSD Unsupervised (全自动驾驶无监督版)
除了特斯莱美国还有谷歌旗下的Waymo
国内有百度的萝卜快跑
我觉得自动驾驶在软件层面完成公测后，
顺畅度足够高，事故率足够低真
正开始普及后
最重要的是会改变",,1
"萝卜快跑坐了
武汉动物园去了
观光车和小火车都坐了
虽然梅雨季节，但是墩姐真的来心 2武汉·武汉动物园",,1
特斯拉Robotaxi试运营、萝卜快跑出海东南亚、Waymo纽约测试，全球无人驾驶“三大家”的竞速越来越白热化，中国萝卜不能输！特斯拉 无人驾驶萝卜快跑robotaxi L闫跃龙频道的微博,Ying_spae：理性客觀 包容支持,1
"美国有自己的萝卜快跑了

马斯克宣布 6 月 22 日在得克萨斯州奥斯汀试运营 Robotaxi","HH曲终人散i ：太棒了 好看 超喜欢啊
隔壁班的驴哥 ：不错不错
Kenny-小胖 ：太牛啦！无人驾驶",1
雨天打不到车，第一次坐上萝卜快跑,"我和我还没开始的床 ：特别好，萝卜不会随心情随距离接单，而且还不会雨天加价！
我和我还没开始的床 ：开好快啊
我和我还没开始的床 ：早知道萝卜快跑这么好打车，就不花二十分钟打普通车了
瘦20斤练出腹肌再改昵称 ：无人驾驶吗？
我和我还没开始的床 ：发现二环线外都能开，二环线内有一部分可以开",1
"特斯拉Robotaxi正式上线
马斯克画了9年的饼终于兑现了一部分
现阶段表现也就相当于「萝卜快跑」

不过我更关心国内的FSD大饼
那么多车主真金白银花6万4支持
到现在也没多少人用上
马上新一代硬件要来
我真理解不了现在买特斯拉图啥

L中国蓝新闻的微博","锦鲤闪电哥：谁说不是呢，就和苹果手机一样
jane锦鲤66：品牌效应吧
锦鲤老男孩520 ：特斯拉FSD在国内还是不太行
仰望春阳 ：
油菜Hui：我以为是德州",1
"“跨境支付通”正式上线　将与稳定币共同成为行业发展新引擎华为“四芯片封装”专利曝光 先进封材引关注
百度萝卜快跑加快进军东南亚 最早年内...O网页链接",,1
"无人驾驶迎来黄金发展期，萝卜快跑、谷歌、特斯拉“三大家”全球竞速

公开资料显示，萝卜快跑已落地北京、上海、武汉、重庆、香港、迪拜、阿布扎比等全球15座城市。截至今年5月，萝卜快跑服务单量已达1100万次，超过谷歌旗下Waymo的1000万次。尽管萝卜快跑暂时领先，但Waymo正在加速其无人驾驶汽车布",,1
"特斯拉海外Robotaxi 开始试用了
看了一下状态
副驾驶还是有监督员盯着的
不知道这个状态和国内的萝卜快跑是不是类似
这么看海外现在就是Robotaxi和Cruise无人出租车
下方大家瞅瞅吧！
特斯拉新能源汽车 L李冰若liberty的微博",樱桃小丸子呦呵 ：特斯拉的量还是大的,1
"百度外卖是如何败退的？2015年，它在外卖市场还排第三。2016年春节，给骑手集体放假。市场丢失。2017年被饿了么收购，2018年彻底退场。

一步错步步错，美团、饿了么抓住百度失误的机会，疯狂蚕食市场。本来这失误本来还有救，但百度这时一门心思扎进人工智能，外卖这边资源和支持越来越少。没了“弹药",1980猜 ：,1
"【萝卜快跑在湖北鄂州成立新公司 注册资本500万】

港股研究社讯，天眼查App显示，近日，萝卜运力（鄂州）科技有限公司成立，法定代表人为毕然，注册资本500万人民币，经营范围含,人工智能应用软件开发、人工智能基础软件开发、计算机系统服务、互联网数据服务、数据处理和存储支持服务、信息系统集",,1
老子服了萝卜快跑 半小时车程开了一个小时都没到还催不了,,1
特斯拉Robotaxi正式上线不知道比武汉萝卜快跑水平高一点还是低一点？,,1
"我的周末
吃火锅
考试
赶动车
到武汉
坐萝卜快跑
买KFC玩具
来姨妈
（我愿称我npy为姨妈大使
跟他一见面就来姨妈）
吃虾
逛超市
吃米线
看许嵩",,1
萝卜快跑在湖北鄂州成立新公司 O萝卜快跑在湖北鄂州成立新公司,,1
"特斯拉为什么要和另外一个市场的萝卜快跑去比呢？为什么他不和同在美国的其他对手比呢？@劝退频道 ，你说呢？而且但凡正常人都知道今天特斯拉那个车费是个梗。这也能做文章，你对流量是多饥渴
特斯拉超话",,1
日前，有媒体报道，百度正加快拓展海外市场的步伐，其自动驾驶出租车子公司萝卜快跑计划最快于2025年底进军东南亚市场，目前正与当地潜在合作方接洽，商讨最适合两国市场的运营模式。,,1
我要成萝卜快跑的忠诚用户了，还有按摩功能！爽了,,1
"汽车早餐 | 汽车学会牵头大规模团标制定；国家抽查：动力电池、充电桩在列；鸿蒙智行超充站已达1000座

国内新闻

国家监督抽查：动力电池、充电桩在列

近日，市场监管总局全面开展2025年产品质量国家监督抽查工作，将对164种产品开展国家监督抽查，在生产、流通、平台广泛抽取样品，共计1.6",,1
"股市股票 据彭博社20日报道，百度计划最早于今年在新加坡和马来西亚上线萝卜快跑无人驾驶出租车服务。知情人士透露，百度正加快拓展海外市场的步伐。萝卜快跑目前正与当地潜在合作方接洽，商讨最适合两国市场的运营模式。
相关个股：大众交通 sh600611 、中海达 sz300177 。",,1
"【行业新闻】

1、“跨境支付通”正式上线，将与稳定市共同成为行业发展新引擎

2、优化全生命周期监管 支持高端医疗器械创新发展

3、华为“四芯片封装”专利曝光 先进封材引关注

4、百度萝卜快跑加快进军东南亚 最早年内上线

5、吉林培育冰雪装备器材产业方案，冰雪器材适当关注

6、脑机接口修复",,1
果然一觉醒来就被Tesla Robotaxi的刷屏了。 可能有人会觉得这有什么新奇的，Waymo不是搞好几年了嘛， 国内的萝卜快跑也运营一年多了。 可是不一样，太不一样了，Tesla的Robotaxi是人类历史上第一个采用视觉搭配AI神经网络的无人驾驶方案进行正式商业运营的里程碑事件， Tesla Robotaxi 具备快速规,,1
"看完演唱会打车回家
我：师傅这段路大概要堵多久
师傅：这个不好说，因为这旁边就是“勺萝卜”的总部
萝卜＝萝卜快跑",,1
死萝卜快跑敢不敢便宜点呢，特么比滴滴贵三十,,1
坐萝卜快跑好幸福一旦染上无法拒绝，不用在意“司机”的看法，还可以放自己喜欢听的歌，移动的ktv呀～,"Serein_0810 ：便宜又好坐
评论罗伯特：萝卜快跑自带KTV，司机都是麦霸！",1
"“这个球球丢上去为什么掉下来呀？不是像飞机一样呢？”
“房子这么高，会不会倒呀？”
“萝卜快跑是无人驾驶的，为什么还有方向盘呢？”
……
不得不说，问的非常有水平啊确实是值得一问的问题而我答不上来🙃",,1
